id,name,album,release_date,track_number,attribute names,attribute values,uri
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,acousticness,0.0121,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,danceability,0.636,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,liveness,0.359,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,instrumentalness,2.18E-05,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,energy,0.808,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,duration_ms,219209,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,popularity,70,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,speechiness,0.0729,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,tempo,160.058,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,loudness,-5.693,spotify:track:50yNTF0Od55qnHLxYsA5Pw
50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,valence,0.917,spotify:track:50yNTF0Od55qnHLxYsA5Pw
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,acousticness,0.00354,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,danceability,0.67,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,liveness,0.0687,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,instrumentalness,1.25E-05,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,energy,0.858,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,duration_ms,207650,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,popularity,70,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,speechiness,0.0439,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,tempo,118.009,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,loudness,-6.528,spotify:track:3FxJDucHWdw6caWTKO5b23
3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,valence,0.539,spotify:track:3FxJDucHWdw6caWTKO5b23
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,acousticness,0.0362,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,danceability,0.618,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,liveness,0.305,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,instrumentalness,0,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,energy,0.683,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,duration_ms,211103,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,popularity,69,spotify:track:7oZONwFiFIErZcXAtTu7FY
7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,speechiness,0.194,spotify:track:7oZONwFiFIErZcXAtTu7FY
